"np","label","subjtaxonname","rel","objtaxonname","source","date"
"http://purl.org/np/RAOgLBuvJRusIKPJyhXbx7sMI1aKj_AI0l1oG6XXsO4pU","Canis lupus Linnaeus, 1758 (species) - preys on - Bison bison (species)","https://www.checklistbank.org/dataset/9880/taxon/QLXL","http://purl.obolibrary.org/obo/RO_0002439","https://www.checklistbank.org/dataset/2169/taxon/9901","https://doi.org/10.1007/s10344-023-01676-0",2023-09-15T08:54:31.806Z
"http://purl.org/np/RALX2suiPKea3pm65RjS97EL6k9iY1Jew_mb30hO5Zjv0","Canis lupus Linnaeus, 1758 (species) - eats - Odocoileus virginianus (Zimmermann, 1780) (species)","https://www.checklistbank.org/dataset/9880/taxon/QLXL","http://purl.obolibrary.org/obo/RO_0002470","https://www.checklistbank.org/dataset/9880/taxon/48NBQ","https://doi.org/10.2307/3800561",2023-09-10T07:15:55.875Z
